"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Be the first to review this product","Be the first to review this product"
"%d customer reviews","%d customer reviews"
"Add your review","Add your review"
"Add your comment","Add your comment"
"All Comments","All Comments"
"All Comments of Customer `%s`","All Comments of Customer `%s`"
"An error occurred while saving this comment.","An error occurred while saving this comment."
"An error occurred while updating the selected comment(s).","An error occurred while updating the selected comment(s)."
"Are you sure you want to do this?","Are you sure you want to do this?"
"Based on %d review(s)","Based on %d review(s)"
"By", "By"
"on","on"
"By %s","By %s"
"Cancel","Cancel"
"Canceled","Canceled"
"Comment","Comment"
"Comment Details","Comment Details"
"Comment can\'t be empty","Comment can\'t be empty"
"Comments (%d)","Comments (%d)"
"Complete","Complete"
"Created On","Created On"
"Customer Comments","Customer Comments"
"Customer Comments To Review","Customer Comments To Review"
"Customer Email","Customer Email"
"Customer Name","Customer Name"
"Customer Reviews","Customer Reviews"
"Edit Comment","Edit Comment"
"Extended Reviews","Extended Reviews"
"Hide comments","Hide comments"
"How do you rate this product?","How do you rate this product?"
"Most Helpful First","Most Helpful First"
"Most Recent First","Most Recent First"
"Most Helpful Customer Reviews","Most Helpful Customer Reviews"
Nickname,Nickname
"Nickname can\'t be empty","Nickname can\'t be empty"
"Number of Reviews (Product Page)","Number of Reviews (Product Page)"
"On %s","On %s"
"Only registered users can post comments. Please, &lt;a href=&quot;%s&quot;&gt;log in&lt;/a&gt; or &lt;a href=&quot;%s&quot;&gt;register&lt;/a&gt;","Only registered users can post comments. Please, &lt;a href=&quot;%s&quot;&gt;log in&lt;/a&gt; or &lt;a href=&quot;%s&quot;&gt;register&lt;/a&gt;"
"Only registered users can write reviews. Please, &lt;a href=&quot;%s&quot;&gt;log in&lt;/a&gt; or &lt;a href=&quot;%s&quot;&gt;register&lt;/a&gt;","Only registered users can write reviews. Please, &lt;a href=&quot;%s&quot;&gt;log in&lt;/a&gt; or &lt;a href=&quot;%s&quot;&gt;register&lt;/a&gt;"
Page:,Page:
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"Pending Comments","Pending Comments"
"Pending Comments of Customer `%s`","Pending Comments of Customer `%s`"
"Please select comment(s).","Please select comment(s)."
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Posted By","Posted By"
"Ratings &amp; Reviews","Ratings &amp; Reviews"
"Read all the most recent reviews","Read all the most recent reviews"
"Read all the most helpful reviews","Read all the most helpful reviews"
"Read more","Read more"
"Review","Review"
"View all %d reviews","View all %d reviews"
"Showing %d-star reviews","Showing %d-star reviews"
"Review Form Fields Before","Review Form Fields Before"
"Review Title","Review Title"
"Reviews Submitted:","Reviews Submitted:"
"Reviews and Ratings","Reviews and Ratings"
"See all reviews","See all reviews"
"Send","Send"
"Something went wrong, please try later","Something went wrong, please try later"
"Submit Comment","Submit Comment"
"Submit Review","Submit Review"
"Submited","Submited"
"Summary of Your Review","Summary of Your Review"
" Thank you for your feedback!"," Thank you for your feedback!"
"Post a comment","Post a comment"
"The comment has been deleted","The comment has been deleted"
"The comment has been saved.","The comment has been saved."
"The comment was removed by another user or does not exist.","The comment was removed by another user or does not exist."
"Tips Block","Tips Block"
"Unable to post the comment.","Unable to post the comment."
"Unable to post the review.","Unable to post the review."
"Update Status","Update Status"
"Was this review helpful to you?","Was this review helpful to you?"
"Write Your Own Review","Write Your Own Review"
"You're reviewing:","You're reviewing:"
"You already voted","You already voted"
" | %s"," | %s"
"%d: star","%d: star"
"%d of %d people found the following review helpful","%d of %d people found the following review helpful"
"%s out of 5 stars","%s out of 5 stars"
"%s","%s"
"%s | %s","%s | %s"
"%s | %s | %s","%s | %s | %s"
"Thanks for commenting! Your comment has been accepted for moderation.","Thanks for commenting! Your comment has been accepted for moderation."
"Thanks for your review! Your review has been accepted for moderation.","Thanks for your review! Your review has been accepted for moderation."
"%d reviews","%d reviews"
"%d review","%d review"
"%d star","%d star"
"of reviews have %d stars","of reviews have %d stars"